submit_id,user_name,code,problem,lang,verdict,contest_id
78767997,Mahim_1703003,"['#include<iostream>\r\nusing namespace std;\r\nint main()\r\n{\r\n    ios::sync_with_stdio(0);\r\n    cin.tie(0);\r\n    cout.tie(0);\r\n    long long int n,k,i,sum=0;\r\n    cin>>n>>k;\r\n    for(i=1;;i++)\r\n    {\r\n        sum = sum + i;\r\n        if(sum-(n-i)==k)\r\n            break;\r\n    }\r\n    cout<<n-i<<""\\n"";\r\n    return 0;\r\n}\r\n']",B - Sport Mafia,GNU C++17,OK,1195
78697175,nifasat_b,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long int ll;\r\nint main()\r\n{\r\n    ll n,k;\r\n    cin>>n>>k;\r\n    ll i=1;\r\n    ll cn=0;\r\n    while(cn<k)\r\n    {\r\n      cn=(i*(i+1))/2;  \r\n      i++;\r\n    }\r\n    cn=cn-k;\r\n    cout<<cn;\r\n}']",B - Sport Mafia,GNU C++17,WRONG_ANSWER,1195
78695544,nifasat_b,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long int ll;\r\nint main()\r\n{\r\n    ll n,k;\r\n    cin>>n>>k;\r\n    ll i=1;\r\n    ll cn=0;\r\n    while(cn<k)\r\n    {\r\n      cn=(i*(i+1))/2;  \r\n      i++;\r\n    }\r\n    n=cn-n;\r\n    cout<<n;\r\n}']",B - Sport Mafia,GNU C++17,WRONG_ANSWER,1195
78658908,anchal_vatre,"['#include<bits/stdc++.h>\n#define ll long long\nusing namespace std;\nint main(){\n\tios_base::sync_with_stdio(false);\n\tcin.tie(0);\n\t#ifndef ONLINE_JUDGE\n\t\tfreopen(""input.txt"", ""r"", stdin);\n\t\tfreopen(""output.txt"", ""w"", stdout);\n\t#endif\n  ll n, k;\n  cin >> n >> k;\n  vector<ll> v;\n  \n  ll ans = -1.5 + sqrt(9 + 8 * (k + n)) / 2;\n  // cout << -1.5 + sqrt(9 + 8 * (k + n)) / 2 << endl;\n  cout << n - ans << endl;\n\treturn 0;\n}']",B - Sport Mafia,GNU C++17,OK,1195
78658868,alvinpiter,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\n#define LL long long int\r\n\r\n/*\r\nAssume we use operation 2 x times. Then:\r\n(1 + 2 + .. + x) - (n - x) = k\r\n*/\r\n\r\nLL n, k;\r\n\r\nint main() {\r\n    cin >> n >> k;\r\n\r\n    for (LL x = 1; x <= 100000; x++) {\r\n        if ((x * x + x)/2 - (n - x) == k) {\r\n            cout << n - x << endl;\r\n            return 0;\r\n        }\r\n    }\r\n}\r\n']",B - Sport Mafia,GNU C++17,OK,1195
78658377,anchal_vatre,"['#include<bits/stdc++.h>\n#define ll long long\nusing namespace std;\nint main(){\n\tios_base::sync_with_stdio(false);\n\tcin.tie(0);\n\t#ifndef ONLINE_JUDGE\n\t\tfreopen(""input.txt"", ""r"", stdin);\n\t\tfreopen(""output.txt"", ""w"", stdout);\n\t#endif\n  ll n, k;\n  cin >> n >> k;\n  vector<ll> v;\n  for(int i=1; i<=n; i++)\n  \tv.push_back(i);\n  ll ans = (-1 + sqrt(1 + 4 * (2 * (k + n)))) / 2;\n  cout << n - ans << endl;\n\treturn 0;\n}']",B - Sport Mafia,GNU C++17,MEMORY_LIMIT_EXCEEDED,1195
78658139,alvinpiter,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\n\r\nint n, k, cnt[1003];\r\nint quota, answer;\r\n\r\nint main() {\r\n    cin >> n >> k;\r\n\r\n    memset(cnt, 0, sizeof(cnt));\r\n    for (int i = 1; i <= n; i++) {\r\n        int a;\r\n        cin >> a;\r\n\r\n        cnt[a] += 1;\r\n    }\r\n\r\n    quota = n/2 + (n%2 == 1 ? 1 : 0);\r\n    answer = 0;\r\n    for (int i = 1; i <= k; i++) {\r\n        int numPackage = cnt[i]/2;\r\n\r\n        quota -= numPackage;\r\n        answer += 2 * numPackage;\r\n        cnt[i] -= 2 * numPackage;\r\n    }\r\n\r\n    for (int i = 1; i <= k; i++) {\r\n        if (cnt[i] > 0 && quota > 0) {\r\n            quota -= 1;\r\n            answer += 1;\r\n            cnt[i] -= 1;\r\n        }\r\n    }\r\n\r\n    cout << answer << endl;\r\n}\r\n']",A - Drinks Choosing,GNU C++17,OK,1195
78656873,anchal_vatre,"['#include<bits/stdc++.h>\n#define ll long long\nusing namespace std;\nint solve(vector<ll> v, int l, int h, ll val){\n\twhile(l < h){\n\t\tint mid = (l + h) / 2;\n\t\tif(val < v[mid] * v[mid] + v[mid]){\n\t\t\th = mid;\n\t\t}else{\n\t\t\tl = mid + 1;\n\t\t}\n\t}\n\treturn l;\n}\nint main(){\n\tios_base::sync_with_stdio(false);\n\tcin.tie(0);\n\t#ifndef ONLINE_JUDGE\n\t\tfreopen(""input.txt"", ""r"", stdin);\n\t\tfreopen(""output.txt"", ""w"", stdout);\n\t#endif\n  ll n, k;\n  cin >> n >> k;\n  vector<ll> v;\n  for(int i=1; i<=n; i++)\n  \tv.push_back(i);\n  ll ans = solve(v, 0, n, (2 * k + 2 * n)); \n  cout << n - ans << endl;\n\treturn 0;\n}']",B - Sport Mafia,GNU C++17,MEMORY_LIMIT_EXCEEDED,1195
78646651,anisureyad,"['\r\n#include<bits/stdc++.h>\r\n#include<string>\r\n#include<math.h>\r\nusing namespace std;\r\nint main()\r\n{\r\n    long long a,b,c[10000],d,e,i,j,m=0,n,x,y,z,k=0;\r\n    cin>>a>>b;\r\n    if(a==0&&b==0) cout<<""0""<<endl;\r\n    else\r\n    {\r\n        d=a/2;\r\n        for(i=1,j=(a-i);i<a,j>=0;i++,j--)\r\n        {\r\n\r\n            y=(i*(i+1))/2;\r\n            //m++;\r\n            if(y-j==b)\r\n            {\r\n                k=1;\r\n                break;\r\n            }\r\n        }\r\n        if(k!=0)cout<<j;\r\n    }\r\n}\r\n']",B - Sport Mafia,GNU C++11,OK,1195
78645299,anisureyad,"['\r\n#include<bits/stdc++.h>\r\n#include<string>\r\n#include<math.h>\r\nusing namespace std;\r\nint main()\r\n{\r\n    long long int a,b,c[10000],d,e,i,j,m=0,n,x,y,z,k=0;\r\n    cin>>a>>b;\r\n    if(a==0&&b==0) cout<<""0""<<endl;\r\n    else\r\n    {\r\n        d=a/2;\r\n        for(i=d,j=(a-i);i<a,j>=0;i++,j--)\r\n        {\r\n            y=(i*(i+1))/2;\r\n            //m++;\r\n            if(y-j==b)\r\n            {\r\n                k=1;\r\n                break;\r\n            }\r\n        }\r\n        if(k!=0)cout<<j;\r\n    }\r\n}\r\n']",B - Sport Mafia,GNU C++11,WRONG_ANSWER,1195
