submit_id,user_name,code,problem,lang,verdict,contest_id
78790619,Dhivagar,"['#include <bits/stdc++.h>\r\nusing namespace std;\r\n#define fastio ios_base::sync_with_stdio(false);cin.tie(NULL)\r\n#define lli long long int\r\n#define tc int t;cin>>t;while(t--)\r\n#define all(x) x.begin(),x.end()\r\n#define f first\r\n#define s second\r\n#define pb push_back\r\n#define vi vector<int>\r\n#define vll vector<lli>\r\n#define maxn 200005\r\n#define mod 998244353\r\n#define maxn 1013\r\n\r\n\r\nint main() {\r\n    fastio;\r\n    lli n,k;\r\n    cin>>n>>k;\r\n    lli dis=(2*n+3)*(2*n+3)-(4*(n*n+n-2*k));\r\n    dis=sqrt(dis);\r\n    dis=(2*n+3)-dis;\r\n    cout<<dis/2<<""\\n"";\r\n    return 0;\r\n}\r\n']",B - Sport Mafia,GNU C++17,OK,1195
78789546,Dhivagar,"['#include <bits/stdc++.h>\r\nusing namespace std;\r\n#define fastio ios_base::sync_with_stdio(false);cin.tie(NULL)\r\n#define lli long long int\r\n#define tc int t;cin>>t;while(t--)\r\n#define all(x) x.begin(),x.end()\r\n#define f first\r\n#define s second\r\n#define pb push_back\r\n#define vi vector<int>\r\n#define vll vector<lli>\r\n#define maxn 200005\r\n#define mod 998244353\r\n#define maxn 1013\r\n\r\n\r\nint main() {\r\n    fastio;\r\n\r\n        int n,k;\r\n        cin>>n>>k;\r\n        int x=0;\r\n        int fr[k+1]={0};\r\n        for(int i=0;i<n;i++)\r\n        {\r\n            cin>>x,fr[x]++;\r\n        }\r\n        int cnt=0;\r\n        for(int i=1;i<=k;i++)\r\n            if(fr[i]&1)\r\n            cnt++;\r\n        if(n&1)\r\n            cnt--;\r\n\r\n        cout<<n-cnt/2<<""\\n"";\r\n\r\n    return 0;\r\n}\r\n']",A - Drinks Choosing,GNU C++17,OK,1195
78788997,Dhivagar,"['#include <bits/stdc++.h>\r\nusing namespace std;\r\n#define fastio ios_base::sync_with_stdio(false);cin.tie(NULL)\r\n#define lli long long int\r\n#define tc int t;cin>>t;while(t--)\r\n#define all(x) x.begin(),x.end()\r\n#define f first\r\n#define s second\r\n#define pb push_back\r\n#define vi vector<int>\r\n#define vll vector<lli>\r\n#define maxn 200005\r\n#define mod 998244353\r\n#define maxn 1013\r\n\r\n\r\nint main() {\r\n    fastio;\r\n\r\n        int n,k;\r\n        cin>>n>>k;\r\n        int x=0;\r\n        int fr[k+1]={0};\r\n        for(int i=0;i<n;i++)\r\n        {\r\n            cin>>x,fr[x]++;\r\n        }\r\n        int req=n/2;\r\n        if(n&1)\r\n            req++;\r\n        int ans=0;\r\n        for(int i=1;i<=k;i++)\r\n        {\r\n            if(fr[i]%2==0)\r\n            {\r\n                ans+=fr[i];\r\n                req-=(fr[i]/2);\r\n            }\r\n        }\r\n        for(int i=1;i<=k;i++)\r\n        {\r\n            if(fr[i]&1 and req)\r\n            {\r\n                if(req*2>fr[i])\r\n                {\r\n                    req-=(fr[i]/2+1);\r\n                    ans+=fr[i];\r\n                }\r\n                else\r\n                {\r\n                    ans+=req*2;\r\n                    req=0;\r\n                }\r\n            }\r\n            //cout<<req<<"" ""<<k<<""\\n"";\r\n        }\r\n        cout<<ans<<""\\n"";\r\n\r\n    return 0;\r\n}\r\n']",A - Drinks Choosing,GNU C++17,WRONG_ANSWER,1195
78788592,Dhivagar,"['#include <bits/stdc++.h>\r\nusing namespace std;\r\n#define fastio ios_base::sync_with_stdio(false);cin.tie(NULL)\r\n#define lli long long int\r\n#define tc int t;cin>>t;while(t--)\r\n#define all(x) x.begin(),x.end()\r\n#define f first\r\n#define s second\r\n#define pb push_back\r\n#define vi vector<int>\r\n#define vll vector<lli>\r\n#define maxn 200005\r\n#define mod 998244353\r\n#define maxn 1013\r\n\r\n\r\nint main() {\r\n    fastio;\r\n\r\n        int n,k;\r\n        cin>>n>>k;\r\n        int x=0;\r\n        int fr[k+1]={0};\r\n        for(int i=0;i<n;i++)\r\n        {\r\n            cin>>x,fr[x]++;\r\n        }\r\n        int req=n/2;\r\n        if(n&1)\r\n            req++;\r\n        int ans=0;\r\n        for(int i=1;i<=k;i++)\r\n        {\r\n            if(fr[i]%2==0)\r\n            {\r\n                ans+=fr[i];\r\n                req-=fr[i]/2;\r\n            }\r\n        }\r\n        for(int i=1;i<=k;i++)\r\n        {\r\n            if(fr[i]&1 and req)\r\n            {\r\n                if(req*2>=fr[i])\r\n                {\r\n                    req-=(fr[i]/2+1);\r\n                    ans+=fr[i];\r\n                }\r\n                else\r\n                {\r\n                    ans+=req*2;\r\n                    req=0;\r\n                }\r\n            }\r\n            //cout<<req<<"" ""<<k<<""\\n"";\r\n        }\r\n        cout<<ans<<""\\n"";\r\n\r\n    return 0;\r\n}\r\n']",A - Drinks Choosing,GNU C++17,WRONG_ANSWER,1195
78767997,Mahim_1703003,"['#include<iostream>\r\nusing namespace std;\r\nint main()\r\n{\r\n    ios::sync_with_stdio(0);\r\n    cin.tie(0);\r\n    cout.tie(0);\r\n    long long int n,k,i,sum=0;\r\n    cin>>n>>k;\r\n    for(i=1;;i++)\r\n    {\r\n        sum = sum + i;\r\n        if(sum-(n-i)==k)\r\n            break;\r\n    }\r\n    cout<<n-i<<""\\n"";\r\n    return 0;\r\n}\r\n']",B - Sport Mafia,GNU C++17,OK,1195
78697175,nifasat_b,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long int ll;\r\nint main()\r\n{\r\n    ll n,k;\r\n    cin>>n>>k;\r\n    ll i=1;\r\n    ll cn=0;\r\n    while(cn<k)\r\n    {\r\n      cn=(i*(i+1))/2;  \r\n      i++;\r\n    }\r\n    cn=cn-k;\r\n    cout<<cn;\r\n}']",B - Sport Mafia,GNU C++17,WRONG_ANSWER,1195
78695544,nifasat_b,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\ntypedef long long int ll;\r\nint main()\r\n{\r\n    ll n,k;\r\n    cin>>n>>k;\r\n    ll i=1;\r\n    ll cn=0;\r\n    while(cn<k)\r\n    {\r\n      cn=(i*(i+1))/2;  \r\n      i++;\r\n    }\r\n    n=cn-n;\r\n    cout<<n;\r\n}']",B - Sport Mafia,GNU C++17,WRONG_ANSWER,1195
78658908,anchal_vatre,"['#include<bits/stdc++.h>\n#define ll long long\nusing namespace std;\nint main(){\n\tios_base::sync_with_stdio(false);\n\tcin.tie(0);\n\t#ifndef ONLINE_JUDGE\n\t\tfreopen(""input.txt"", ""r"", stdin);\n\t\tfreopen(""output.txt"", ""w"", stdout);\n\t#endif\n  ll n, k;\n  cin >> n >> k;\n  vector<ll> v;\n  \n  ll ans = -1.5 + sqrt(9 + 8 * (k + n)) / 2;\n  // cout << -1.5 + sqrt(9 + 8 * (k + n)) / 2 << endl;\n  cout << n - ans << endl;\n\treturn 0;\n}']",B - Sport Mafia,GNU C++17,OK,1195
78658868,alvinpiter,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\n#define LL long long int\r\n\r\n/*\r\nAssume we use operation 2 x times. Then:\r\n(1 + 2 + .. + x) - (n - x) = k\r\n*/\r\n\r\nLL n, k;\r\n\r\nint main() {\r\n    cin >> n >> k;\r\n\r\n    for (LL x = 1; x <= 100000; x++) {\r\n        if ((x * x + x)/2 - (n - x) == k) {\r\n            cout << n - x << endl;\r\n            return 0;\r\n        }\r\n    }\r\n}\r\n']",B - Sport Mafia,GNU C++17,OK,1195
78658377,anchal_vatre,"['#include<bits/stdc++.h>\n#define ll long long\nusing namespace std;\nint main(){\n\tios_base::sync_with_stdio(false);\n\tcin.tie(0);\n\t#ifndef ONLINE_JUDGE\n\t\tfreopen(""input.txt"", ""r"", stdin);\n\t\tfreopen(""output.txt"", ""w"", stdout);\n\t#endif\n  ll n, k;\n  cin >> n >> k;\n  vector<ll> v;\n  for(int i=1; i<=n; i++)\n  \tv.push_back(i);\n  ll ans = (-1 + sqrt(1 + 4 * (2 * (k + n)))) / 2;\n  cout << n - ans << endl;\n\treturn 0;\n}']",B - Sport Mafia,GNU C++17,MEMORY_LIMIT_EXCEEDED,1195
78658139,alvinpiter,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\n\r\nint n, k, cnt[1003];\r\nint quota, answer;\r\n\r\nint main() {\r\n    cin >> n >> k;\r\n\r\n    memset(cnt, 0, sizeof(cnt));\r\n    for (int i = 1; i <= n; i++) {\r\n        int a;\r\n        cin >> a;\r\n\r\n        cnt[a] += 1;\r\n    }\r\n\r\n    quota = n/2 + (n%2 == 1 ? 1 : 0);\r\n    answer = 0;\r\n    for (int i = 1; i <= k; i++) {\r\n        int numPackage = cnt[i]/2;\r\n\r\n        quota -= numPackage;\r\n        answer += 2 * numPackage;\r\n        cnt[i] -= 2 * numPackage;\r\n    }\r\n\r\n    for (int i = 1; i <= k; i++) {\r\n        if (cnt[i] > 0 && quota > 0) {\r\n            quota -= 1;\r\n            answer += 1;\r\n            cnt[i] -= 1;\r\n        }\r\n    }\r\n\r\n    cout << answer << endl;\r\n}\r\n']",A - Drinks Choosing,GNU C++17,OK,1195
78656873,anchal_vatre,"['#include<bits/stdc++.h>\n#define ll long long\nusing namespace std;\nint solve(vector<ll> v, int l, int h, ll val){\n\twhile(l < h){\n\t\tint mid = (l + h) / 2;\n\t\tif(val < v[mid] * v[mid] + v[mid]){\n\t\t\th = mid;\n\t\t}else{\n\t\t\tl = mid + 1;\n\t\t}\n\t}\n\treturn l;\n}\nint main(){\n\tios_base::sync_with_stdio(false);\n\tcin.tie(0);\n\t#ifndef ONLINE_JUDGE\n\t\tfreopen(""input.txt"", ""r"", stdin);\n\t\tfreopen(""output.txt"", ""w"", stdout);\n\t#endif\n  ll n, k;\n  cin >> n >> k;\n  vector<ll> v;\n  for(int i=1; i<=n; i++)\n  \tv.push_back(i);\n  ll ans = solve(v, 0, n, (2 * k + 2 * n)); \n  cout << n - ans << endl;\n\treturn 0;\n}']",B - Sport Mafia,GNU C++17,MEMORY_LIMIT_EXCEEDED,1195
78646651,anisureyad,"['\r\n#include<bits/stdc++.h>\r\n#include<string>\r\n#include<math.h>\r\nusing namespace std;\r\nint main()\r\n{\r\n    long long a,b,c[10000],d,e,i,j,m=0,n,x,y,z,k=0;\r\n    cin>>a>>b;\r\n    if(a==0&&b==0) cout<<""0""<<endl;\r\n    else\r\n    {\r\n        d=a/2;\r\n        for(i=1,j=(a-i);i<a,j>=0;i++,j--)\r\n        {\r\n\r\n            y=(i*(i+1))/2;\r\n            //m++;\r\n            if(y-j==b)\r\n            {\r\n                k=1;\r\n                break;\r\n            }\r\n        }\r\n        if(k!=0)cout<<j;\r\n    }\r\n}\r\n']",B - Sport Mafia,GNU C++11,OK,1195
78645299,anisureyad,"['\r\n#include<bits/stdc++.h>\r\n#include<string>\r\n#include<math.h>\r\nusing namespace std;\r\nint main()\r\n{\r\n    long long int a,b,c[10000],d,e,i,j,m=0,n,x,y,z,k=0;\r\n    cin>>a>>b;\r\n    if(a==0&&b==0) cout<<""0""<<endl;\r\n    else\r\n    {\r\n        d=a/2;\r\n        for(i=d,j=(a-i);i<a,j>=0;i++,j--)\r\n        {\r\n            y=(i*(i+1))/2;\r\n            //m++;\r\n            if(y-j==b)\r\n            {\r\n                k=1;\r\n                break;\r\n            }\r\n        }\r\n        if(k!=0)cout<<j;\r\n    }\r\n}\r\n']",B - Sport Mafia,GNU C++11,WRONG_ANSWER,1195
78642686,manvi.neekhra,"['#include<bits/stdc++.h>\r\nusing namespace std;\r\nint main()\r\n{\r\n    int  n,k;\r\n    cin>>n>>k;\r\n    int *choice=new int[n];\r\n    for(int i=0;i<n;i++)\r\n    {\r\n        cin>>choice[i];\r\n    }\r\n    int freq[k+1]={0};\r\n    for(int i=0;i<n;i++)\r\n    {\r\n        freq[choice[i]]=freq[choice[i]]+1;\r\n    }\r\n    priority_queue<int>pq;\r\n    for(int i=0;i<=k;i++)\r\n    {\r\n        if(freq[i])\r\n        {\r\n            pq.push(freq[i]);\r\n        }\r\n    }\r\n    int p;\r\n    if(n%2==0)\r\n    {\r\n        p=n/2;\r\n    }\r\n    else\r\n    {\r\n        p=(n/2)+1;\r\n    }\r\n    int m,odd=0;\r\n    int count1=0,u;\r\n    int ans=0;\r\n    while(count1<p && !pq.empty())\r\n    {\r\n        u=pq.top();\r\n        //cout<<u<<"" "";\r\n        pq.pop();\r\n        m=u/2;\r\n        if(count1+m>p)\r\n        {\r\n            ans=ans+(p-count1)*2;\r\n            count1=p;\r\n            break;\r\n        }\r\n        if(u%2!=0)\r\n        {\r\n            odd=odd+1;\r\n        }\r\n        count1=count1+m;\r\n        ans=ans+(m*2);\r\n       // cout<<ans<<"" ""<<count1<<endl;\r\n    }\r\n    if(count1<p)\r\n    {\r\n       if(odd<(p-count1))\r\n       {\r\n           ans=ans+odd;\r\n       }\r\n       else\r\n       {\r\n          // cout<<p<<"" ""<<count1<<"" ""<<(count1-p)<<"" ""<<ans<<endl;\r\n           ans=ans+(p-count1);\r\n       }\r\n    }\r\n    cout<<ans;\r\n}\r\n']",A - Drinks Choosing,GNU C++14,OK,1195
78604209,infinity1_1,"['#include<bits/stdc++.h>\r\n#define fi first\r\n#define se second\r\n#define pb push_back\r\n#define ppb pop_back\r\n#define pii pair<int, int> \r\n#define pll pair<long , long>\r\n#define all(a) a.begin(), a.end()\r\n#define int long long\r\n#define ll long long\r\n#define mod 998244353\r\n#define endl ""\\n""\r\n#define FIO ios_base::sync_with_stdio(false); cin.tie(NULL);\r\n//#define int long long\r\n#define testcases int t=1; cin>>t; while(t--)\r\n#define loop(i,a,b) for(int i=a;i<=b;i++)\r\n#define bloop(i,a,b) for(int i=a;i>=b;i--)\r\nusing namespace std;\r\n\r\nint32_t main()\r\n{\r\n    FIO\r\n    // testcases\r\n    {\r\n        int n,k,s=0;\r\n        cin>>n>>k;\r\n       for(int i=1;i<=n;i++)\r\n       {\r\n           s+=i;\r\n           if(s-n+i==k)\r\n           {\r\n               cout<<n-i<<endl;\r\n               break;\r\n           }\r\n           // cout<<s-n+i<<"" "";\r\n               // break\r\n       }\r\n        \r\n    }\r\n    return 0;\r\n}']",B - Sport Mafia,GNU C++17,OK,1195
78613489,A_Ashgr,"['#include<bits/stdc++.h>\r\n#define fastIO ios_base::sync_with_stdio(false);cin.tie(NULL);cout.tie(NULL);\r\n#define mp make_pair\r\n#define pb push_back\r\ntypedef long long ll;\r\nusing namespace std;\r\n\r\nint n , k, l , r , mid , ans;\r\n\r\nint main(){\r\n    fastIO;\r\n    cin>>n>>k;\r\n    l = 0 , r = n;\r\n    while(l<=r){\r\n        mid = (r+l)/2;\r\n        int seq = (mid*(mid+1)/2);\r\n        if(seq - (n-mid)==k){\r\n            cout<<n-mid;\r\n            return 0;\r\n        }\r\n        if(seq - (n-mid)>k){\r\n            r = mid - 1;\r\n        }\r\n        else{\r\n            l = mid + 1;\r\n        }\r\n    }\r\n}\r\n/*\r\nx(x+1)/2 +\r\nn-x\r\n*/\r\n']",B - Sport Mafia,GNU C++17,WRONG_ANSWER,1195
